article_title,url_link,country,article_quality,revision_id,geography,population,region
Gjon Markagjoni,https://en.wikipedia.org/wiki/Gjon_Markagjoni,Albania,C,1114419158,Albania,2.8,SOUTHERN EUROPE
Tefik Mborja,https://en.wikipedia.org/wiki/Tefik_Mborja,Albania,Start,1112281218,Albania,2.8,SOUTHERN EUROPE
Fatmir Mediu,https://en.wikipedia.org/wiki/Fatmir_Mediu,Albania,Stub,1108640753,Albania,2.8,SOUTHERN EUROPE
Hysni Milloshi,https://en.wikipedia.org/wiki/Hysni_Milloshi,Albania,Start,1111101481,Albania,2.8,SOUTHERN EUROPE
Musa Qazimi,https://en.wikipedia.org/wiki/Musa_Qazimi,Albania,GA,1085455681,Albania,2.8,SOUTHERN EUROPE
Mustafa Ndroqi,https://en.wikipedia.org/wiki/Mustafa_Ndroqi,Albania,Stub,1091483288,Albania,2.8,SOUTHERN EUROPE
Behxhet Nepravishta,https://en.wikipedia.org/wiki/Behxhet_Nepravishta,Albania,Stub,1114419169,Albania,2.8,SOUTHERN EUROPE
Adrian Neritani,https://en.wikipedia.org/wiki/Adrian_Neritani,Albania,Start,1112281129,Albania,2.8,SOUTHERN EUROPE
Sali Nivica,https://en.wikipedia.org/wiki/Sali_Nivica,Albania,Start,1074384873,Albania,2.8,SOUTHERN EUROPE
Thoma Orologa,https://en.wikipedia.org/wiki/Thoma_Orologa,Albania,Start,1114419178,Albania,2.8,SOUTHERN EUROPE
Bedri Pejani,https://en.wikipedia.org/wiki/Bedri_Pejani,Albania,C,1080373501,Albania,2.8,SOUTHERN EUROPE
Pertef Pogoni,https://en.wikipedia.org/wiki/Pertef_Pogoni,Albania,Stub,1071576384,Albania,2.8,SOUTHERN EUROPE
Kadri Prishtina,https://en.wikipedia.org/wiki/Kadri_Prishtina,Albania,Start,1115424613,Albania,2.8,SOUTHERN EUROPE
